epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,488.171,1.41806,2.85174,1.48994,0.5403,0.44593,0.47206,0.26046,1.49512,1.8988,1.54006,0.00333099,0.00333099,0.00333099
2,1007.94,1.42168,1.9808,1.47309,0.51845,0.49606,0.46125,0.24503,1.62866,1.81091,1.68716,0.0064444,0.0064444,0.0064444
3,1450.73,1.52201,1.88572,1.56035,0.57692,0.32846,0.38738,0.19118,1.7924,1.93013,1.82884,0.00933781,0.00933781,0.00933781
4,1852.96,1.55048,1.84422,1.58713,0.56677,0.46313,0.50286,0.27645,1.64964,1.6915,1.70702,0.00901,0.00901,0.00901
5,2251.11,1.46433,1.64828,1.51832,0.70336,0.57493,0.62768,0.36597,1.57749,1.47905,1.61046,0.00868,0.00868,0.00868
6,2653.62,1.41134,1.53239,1.48144,0.69144,0.63032,0.66961,0.39316,1.5049,1.32378,1.56809,0.00835,0.00835,0.00835
7,3058.41,1.36842,1.43404,1.44906,0.832,0.64687,0.74506,0.44249,1.482,1.2323,1.52976,0.00802,0.00802,0.00802
8,3448.68,1.33284,1.35391,1.41877,0.7437,0.6828,0.74595,0.46678,1.41842,1.15319,1.48585,0.00769,0.00769,0.00769
9,3843.1,1.30271,1.28727,1.39606,0.80714,0.72573,0.78639,0.49023,1.4057,1.10115,1.47501,0.00736,0.00736,0.00736
10,4233.42,1.28551,1.245,1.37676,0.83676,0.72012,0.7964,0.5126,1.37398,1.07816,1.44085,0.00703,0.00703,0.00703
11,4622.16,1.25978,1.19187,1.3553,0.81914,0.73346,0.81144,0.51823,1.33171,1.01265,1.40376,0.0067,0.0067,0.0067
12,5013.93,1.23938,1.14884,1.34003,0.85248,0.73518,0.81806,0.51937,1.34006,0.99458,1.4037,0.00637,0.00637,0.00637
13,5409.39,1.22662,1.11961,1.33067,0.85102,0.74418,0.83091,0.54558,1.31622,0.95651,1.39985,0.00604,0.00604,0.00604
14,5790.84,1.20437,1.0895,1.31124,0.88465,0.73633,0.8427,0.54703,1.3002,0.92762,1.37894,0.00571,0.00571,0.00571
15,6200.89,1.18292,1.04865,1.30057,0.85458,0.78376,0.84541,0.56,1.28572,0.89098,1.36742,0.00538,0.00538,0.00538
16,399.401,1.1656,1.01499,1.28905,0.85843,0.78674,0.86552,0.56473,1.28333,0.86864,1.36053,0.00505,0.00505,0.00505
17,806.802,1.15117,0.99227,1.27492,0.85978,0.81027,0.85879,0.56651,1.2551,0.84951,1.34207,0.00472,0.00472,0.00472
18,1189.01,1.13793,0.9623,1.2685,0.85942,0.81714,0.87107,0.57299,1.26389,0.82563,1.33795,0.00439,0.00439,0.00439
19,2415.66,1.12319,0.94051,1.25385,0.90335,0.78382,0.87406,0.5823,1.2558,0.82577,1.33523,0.00406,0.00406,0.00406
20,2800.1,1.10285,0.91796,1.24156,0.90117,0.79541,0.8804,0.58627,1.25643,0.80962,1.33182,0.00373,0.00373,0.00373
21,3219.39,1.09006,0.75307,1.22926,0.8924,0.79874,0.87722,0.58914,1.23528,0.79769,1.32022,0.0034,0.0034,0.0034
22,3598.95,1.05632,0.7053,1.20864,0.90295,0.80379,0.88629,0.59417,1.23388,0.77378,1.31915,0.00307,0.00307,0.00307
23,3977.28,1.03357,0.66901,1.18649,0.8704,0.83215,0.87735,0.59318,1.22216,0.75521,1.31491,0.00274,0.00274,0.00274
24,4356.06,1.00354,0.63901,1.16989,0.89032,0.82792,0.88366,0.59591,1.21551,0.73751,1.31394,0.00241,0.00241,0.00241
25,4734.54,0.98141,0.61451,1.15121,0.89025,0.82016,0.88266,0.59493,1.21661,0.74169,1.31414,0.00208,0.00208,0.00208
26,5114.36,0.95858,0.58604,1.13846,0.90396,0.82262,0.88116,0.59796,1.2204,0.73253,1.3195,0.00175,0.00175,0.00175
27,5493.08,0.93661,0.5667,1.12107,0.9047,0.82315,0.88477,0.5976,1.22029,0.72487,1.32103,0.00142,0.00142,0.00142
28,5868.58,0.91088,0.5441,1.10319,0.89166,0.84151,0.88337,0.59853,1.2167,0.71788,1.31782,0.00109,0.00109,0.00109
29,6355.72,0.88922,0.52663,1.09244,0.90533,0.82432,0.8851,0.60007,1.21844,0.71425,1.31775,0.00076,0.00076,0.00076
30,6765.68,0.87201,0.50654,1.07943,0.91873,0.82728,0.89054,0.59797,1.2218,0.71188,1.32129,0.00043,0.00043,0.00043
